time_s,T_hot_C,T_cold_C,T_mid_C,T_top_C,T_min_C,T_max_C,heater_power_W
380.0,23.993600000000015,23.39133000000004,23.710680000000025,23.96395000000001,23.35847000000001,23.995390000000043,0.0
385.0,23.966330000000028,23.411950000000047,23.705990000000043,23.94073000000003,23.38022000000001,23.968050000000005,0.0
390.0,23.94133000000005,23.43085000000002,23.701660000000004,23.918960000000027,23.40001000000001,23.942970000000003,0.0
395.0,23.918360000000007,23.44815,23.69762000000003,23.898600000000044,23.41799000000003,23.919960000000003,0.0
400.0,23.897199999999998,23.463970000000018,23.693820000000017,23.879560000000026,23.434320000000014,23.898770000000013,0.0
405.0,23.877679999999998,23.478409999999997,23.69022000000001,23.86178000000001,23.44914,23.87921,0.0
410.0,23.859620000000007,23.491570000000024,23.68679000000003,23.845180000000028,23.462580000000003,23.861140000000034,0.0
415.0,23.842900000000043,23.503540000000044,23.683510000000012,23.829679999999996,23.47475000000003,23.844400000000007,0.0
420.0,23.827390000000037,23.51442000000003,23.680360000000007,23.815200000000004,23.485749999999996,23.828880000000026,0.0
425.0,23.812990000000013,23.524280000000033,23.677310000000034,23.801680000000033,23.495690000000025,23.81447000000003,0.0
430.0,23.799590000000023,23.533209999999997,23.674360000000036,23.78905000000003,23.504650000000026,23.801060000000007,0.0
435.0,23.78711000000004,23.541269999999997,23.671490000000006,23.777240000000006,23.51272,23.78857000000005,0.0
440.0,23.77547000000004,23.548519999999996,23.668690000000026,23.766189999999995,23.519960000000026,23.77692000000002,0.0
445.0,23.76460000000003,23.55504000000002,23.66595000000001,23.755840000000035,23.52645000000001,23.766050000000007,0.0
450.0,23.75445000000002,23.560879999999997,23.66327000000001,23.746140000000025,23.532250000000033,23.755890000000022,0.0
455.0,23.74493000000001,23.56609000000003,23.66064,23.73705000000001,23.537410000000023,23.746370000000013,0.0
460.0,23.736019999999996,23.570719999999994,23.658060000000035,23.728499999999997,23.54199,23.737450000000024,0.0
465.0,23.72765000000004,23.574820000000045,23.655520000000024,23.720470000000034,23.54603000000003,23.72908000000001,0.0
470.0,23.719780000000014,23.57842000000005,23.653020000000026,23.712910000000022,23.54958000000005,23.72120000000001,0.0
475.0,23.712379999999996,23.58157,23.65055000000001,23.705780000000004,23.55268000000001,23.713790000000017,0.0
480.0,23.705399999999997,23.584310000000016,23.64811000000003,23.69905,23.555360000000007,23.70681000000002,0.0
485.0,23.698800000000006,23.586659999999995,23.645700000000033,23.692700000000002,23.55766,23.700210000000027,0.0
490.0,23.692570000000046,23.588660000000004,23.643310000000042,23.686680000000024,23.55961000000002,23.69398000000001,0.0
495.0,23.68667000000005,23.590329999999994,23.640950000000032,23.680970000000002,23.561230000000023,23.688080000000014,0.0
500.0,23.681070000000034,23.591700000000003,23.63861000000003,23.675550000000044,23.56256000000002,23.682479999999998,0.0
505.0,23.67575000000005,23.59280000000001,23.63629000000003,23.67040000000003,23.563620000000014,23.677160000000015,0.0
510.0,23.670690000000036,23.59364000000005,23.63399000000004,23.665490000000034,23.56442000000004,23.6721,0.0
515.0,23.66587000000004,23.594250000000045,23.631709999999998,23.660810000000026,23.564999999999998,23.667280000000005,0.0
520.0,23.661260000000027,23.59465,23.629440000000045,23.65634,23.56536,23.66267000000005,0.0
525.0,23.656859999999995,23.594850000000008,23.62719000000004,23.65205000000003,23.565530000000024,23.658270000000016,0.0
530.0,23.65264000000002,23.59486000000004,23.624950000000013,23.647940000000006,23.565530000000024,23.65405000000004,0.0
535.0,23.648590000000013,23.59471000000002,23.622720000000015,23.644000000000005,23.565350000000024,23.650000000000034,0.0
540.0,23.644690000000026,23.59441000000004,23.62050000000005,23.64020000000005,23.565030000000036,23.646100000000047,0.0
545.0,23.64094,23.59396000000004,23.618300000000033,23.636540000000025,23.56456000000003,23.642359999999996,0.0
550.0,23.63733000000002,23.59339,23.616100000000017,23.633010000000013,23.56397000000004,23.63874000000004,0.0
555.0,23.633830000000046,23.592690000000005,23.613920000000007,23.629590000000007,23.563260000000014,23.635250000000042,0.0
560.0,23.630449999999996,23.591890000000035,23.611739999999998,23.62628000000001,23.562450000000013,23.63187000000005,0.0
565.0,23.627170000000035,23.590980000000002,23.60957000000002,23.62307000000004,23.561530000000005,23.62859000000003,0.0
570.0,23.62399000000005,23.589980000000025,23.607410000000016,23.619950000000017,23.56053000000003,23.625410000000045,0.0
575.0,23.620900000000006,23.588900000000024,23.605260000000044,23.61691000000002,23.559439999999995,23.622320000000002,0.0
580.0,23.617890000000045,23.587739999999997,23.603110000000015,23.613950000000045,23.55827000000005,23.61930000000001,0.0
585.0,23.61495000000002,23.5865,23.600970000000018,23.61106000000001,23.557029999999997,23.616370000000018,0.0
590.0,23.61208000000005,23.585200000000043,23.598839999999996,23.608240000000023,23.55573000000004,23.613500000000045,0.0
595.0,23.609280000000012,23.58384000000001,23.59671000000003,23.60548,23.554370000000006,23.61070000000001,0.0
600.0,23.60653000000002,23.582430000000045,23.594580000000008,23.60277000000002,23.55296000000004,23.607950000000017,0.0
