time_s,axial_node,x_m,truth,without_da,with_da
225,16,0.12375,25.89577871,23.93051982,25.92145362
225,28,0.21375,22.05579514,21.3705304,21.8640426
225,36,0.27375,20.59649021,20.39766025,20.527985
230,4,0.03375,33.29912252,28.86607991,33.14441734
230,16,0.12375,26.03506381,24.02337655,26.08350085
230,28,0.21375,22.12862868,21.41908609,21.94313732
230,36,0.27375,20.62084585,20.41389734,20.55270423
235,4,0.03375,33.475504,28.98366756,33.28377015
235,16,0.12375,26.17323912,24.11549343,26.15688834
235,28,0.21375,22.20125346,21.46750261,22.00762415
235,36,0.27375,20.64518682,20.43012465,20.57707598
240,4,0.03375,33.64991355,29.09994059,33.47694222
240,16,0.12375,26.31030339,24.2068696,26.23715178
240,28,0.21375,22.27363678,21.51575816,22.06591906
240,36,0.27375,20.66949749,20.44633177,20.60067338
245,4,0.03375,33.8224256,29.21494861,33.67909914
245,16,0.12375,26.44625624,24.29750482,26.45929706
245,28,0.21375,22.34574889,21.56383289,22.14816743
245,36,0.27375,20.69376357,20.46250915,20.62475381
250,4,0.03375,33.99305993,29.32870483,33.83667346
250,16,0.12375,26.58109816,24.38739944,26.56939177
250,28,0.21375,22.41756276,21.61170881,22.21629738
250,36,0.27375,20.717972,20.47864811,20.64849795
255,4,0.03375,34.1618793,29.44125107,33.93544583
255,16,0.12375,26.71483041,24.47655427,26.69380132
255,28,0.21375,22.48905389,21.65936956,22.28854038
255,36,0.27375,20.74211088,20.49474069,20.67231905
260,4,0.03375,34.32890439,29.55260112,34.15578948
260,16,0.12375,26.84745495,24.56497062,26.80737126
260,28,0.21375,22.5602001,21.70680036,22.353526
260,36,0.27375,20.76616936,20.51077967,20.69578805
265,4,0.03375,34.49418842,29.66279047,34.32645945
265,16,0.12375,26.97897434,24.65265021,26.99915913
265,28,0.21375,22.63098135,21.75398786,22.43376219
265,36,0.27375,20.79013756,20.52675848,20.71979166
270,4,0.03375,34.65775241,29.77183312,34.59388314
270,16,0.12375,27.10939171,24.73959512,27.11815993
270,28,0.21375,22.70137959,21.80092002,22.49879842
270,36,0.27375,20.81400654,20.54267113,20.74340321
275,4,0.03375,34.81964186,29.87975942,34.67706033
275,16,0.12375,27.23871073,24.8258078,27.23497681
275,28,0.21375,22.77137855,21.84758599,22.56817813
275,36,0.27375,20.83776815,20.5585122,20.7669625
280,4,0.03375,34.97987767,29.98658328,34.72853866
280,16,0.12375,27.36693551,24.91129098,27.36563502
280,28,0.21375,22.84096368,21.89397608,22.64363447
280,36,0.27375,20.86141503,20.57427679,20.79076291
285,4,0.03375,35.13849908,30.09233088,34.97613165
285,16,0.12375,27.49407057,24.99604768,27.61719889
285,28,0.21375,22.91012194,21.94008158,22.73740491
