time_s,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9
740,25.87467236,25.25298367,24.23553917,23.09316803,22.045003,21.21847885,20.64829593,20.30265015,20.1187896,20.02861093
750,25.87617734,25.28710219,24.30470231,23.1905583,22.15432931,21.31790719,20.72198429,20.34753653,20.14112883,20.0360536
760,25.78063052,25.2194743,24.27793294,23.19897412,22.18392042,21.35430885,20.755021,20.37198528,20.15556483,20.04081469
770,25.65601357,25.12410122,24.22898971,23.19227071,22.20391162,21.38503402,20.78492816,20.39502537,20.16949985,20.04546595
780,25.63013997,25.10349915,24.20844424,23.16850059,22.18089661,21.37030355,20.78187955,20.40013237,20.17600694,20.04765877
790,25.63756978,25.13218411,24.2609998,23.24131175,22.26317752,21.4467703,20.84039914,20.4375575,20.19560457,20.05423689
800,25.41667932,24.95377517,24.16312187,23.22202571,22.29391877,21.49508629,20.88458712,20.46876924,20.21318981,20.06000372
810,25.36216492,24.91736772,24.15124272,23.2331364,22.32085141,21.52842887,20.91600566,20.49300816,20.22797698,20.06484679
820,25.40609822,24.94589186,24.14409677,23.18917207,22.25959135,21.47558103,20.88615315,20.48408321,20.22893009,20.06527626
830,25.33607416,24.90524247,24.15068305,23.24175965,22.33912129,21.55607125,20.94906151,20.52411295,20.24964555,20.07240813
840,25.2709086,24.87088379,24.16554042,23.30475063,22.43011778,21.64730657,21.02023716,20.56932054,20.27305016,20.08015899
850,25.161542,24.75503721,24.04538083,23.18069253,22.31334727,21.55721669,20.96812455,20.54947637,20.26988102,20.07910743
860,25.07523377,24.68599233,24.00548362,23.1706632,22.32490884,21.57915868,20.99123646,20.56838326,20.28190453,20.08340122
870,25.06363625,24.6932669,24.0372363,23.22729655,22.39644234,21.64913718,21.04625693,20.60409797,20.300943,20.08991424
880,25.03083128,24.67449682,24.03912201,23.24992962,22.4334522,21.69023421,21.08233217,20.63036259,20.31639591,20.09510168
890,24.96875588,24.63168741,24.02843493,23.27168756,22.47666646,21.73923659,21.12464122,20.66022966,20.33348503,20.10081984
900,24.90757466,24.59606089,24.03458514,23.32005027,22.55098878,21.81633327,21.18666934,20.70094079,20.35527871,20.10801161
